Texto: 'Remito' | Coordenadas: (x: 762, y: 68, w: 53, h: 12)
Texto: 'a' | Coordenadas: (x: 820, y: 71, w: 8, h: 9)
Texto: 'Clientes' | Coordenadas: (x: 834, y: 68, w: 61, h: 12)
Texto: 'Suc.' | Coordenadas: (x: 901, y: 68, w: 32, h: 12)
Texto: '0001' | Coordenadas: (x: 939, y: 68, w: 33, h: 12)
Texto: 'Cámara' | Coordenadas: (x: 166, y: 78, w: 85, h: 34)
Texto: 'R' | Coordenadas: (x: 583, y: 72, w: 29, h: 35)
Texto: '(' | Coordenadas: (x: 102, y: 97, w: 37, h: 56)
Texto: 'Argentina' | Coordenadas: (x: 165, y: 108, w: 106, h: 24)
Texto: 'de' | Coordenadas: (x: 278, y: 108, w: 27, h: 20)
Texto: 'RX0001' | Coordenadas: (x: 693, y: 102, w: 67, h: 16)
Texto: '10144' | Coordenadas: (x: 953, y: 103, w: 54, h: 15)
Texto: 'Comercio' | Coordenadas: (x: 165, y: 134, w: 107, h: 19)
Texto: 'y' | Coordenadas: (x: 280, y: 140, w: 11, h: 18)
Texto: 'Servicios' | Coordenadas: (x: 298, y: 134, w: 100, h: 19)
Texto: '5/11/2024' | Coordenadas: (x: 813, y: 137, w: 106, h: 18)
Texto: 'Fundada' | Coordenadas: (x: 305, y: 163, w: 46, h: 12)
Texto: 'en' | Coordenadas: (x: 356, y: 166, w: 11, h: 9)
Texto: '1924' | Coordenadas: (x: 373, y: 163, w: 25, h: 12)
Texto: 'Original' | Coordenadas: (x: 832, y: 168, w: 59, h: 16)
Texto: 'Cámara' | Coordenadas: (x: 188, y: 184, w: 65, h: 14)
Texto: 'Argentina' | Coordenadas: (x: 259, y: 185, w: 83, h: 16)
Texto: 'de' | Coordenadas: (x: 348, y: 185, w: 20, h: 13)
Texto: 'Comercio' | Coordenadas: (x: 375, y: 185, w: 82, h: 13)
Texto: 'y' | Coordenadas: (x: 463, y: 188, w: 9, h: 13)
Texto: 'Servicios' | Coordenadas: (x: 477, y: 185, w: 79, h: 13)
Texto: 'C.U.L.T.:' | Coordenadas: (x: 629, y: 184, w: 42, h: 10)
Texto: '30525525046' | Coordenadas: (x: 684, y: 185, w: 83, h: 9)
Texto: 'Av.' | Coordenadas: (x: 215, y: 205, w: 16, h: 10)
Texto: 'Leandro' | Coordenadas: (x: 240, y: 205, w: 49, h: 10)
Texto: 'N.' | Coordenadas: (x: 294, y: 205, w: 8, h: 10)
Texto: 'Alem' | Coordenadas: (x: 311, y: 205, w: 31, h: 10)
Texto: '36' | Coordenadas: (x: 347, y: 205, w: 14, h: 10)
Texto: '(C1003AAN)' | Coordenadas: (x: 367, y: 205, w: 77, h: 13)
Texto: '|' | Coordenadas: (x: 450, y: 205, w: 1, h: 13)
Texto: '1003' | Coordenadas: (x: 457, y: 205, w: 29, h: 10)
Texto: '|' | Coordenadas: (x: 491, y: 205, w: 1, h: 13)
Texto: 'CABA' | Coordenadas: (x: 498, y: 205, w: 37, h: 10)
Texto: '|N' | Coordenadas: (x: 541, y: 205, w: 15, h: 13)
